"name","age"
"Max",84
"Max",88
"Max",89
"Max",52
"Max",21
"Max",59
"Max",78
"Max",57
"Max",5
"Max",100
"Max",5
"Max",32
"Max",17
"Max",1
"Max",33
"Max",52
"Max",11
"Max",80
"Max",56
"Max",89
"Max",36
"Max",87
"Max",47
"Max",8
"Max",15
"Max",55
"Max",51
"Max",68
"Max",82
"Max",45
"Max",45
"Max",98
"Max",93
"Max",32
"Max",78
"Max",29
"Max",33
"Max",29
"Max",88
"Max",51
"Max",92
"Max",6
"Max",46
"Max",81
"Max",16
"Max",3
"Max",17
"Max",85
"Max",34
"Max",18
"Max",47
"Max",37
"Max",16
"Max",61
"Max",40
"Max",89
"Max",17
"Max",69